,title,movieId,user_id
0,Addams Family Values (1993),410,406
1,Young Frankenstein (1974),1278,406
2,Willy Wonka & the Chocolate Factory (1971),1073,406
3,Mary Poppins (1964),1028,406
4,Tron (1982),2105,406
5,Monty Python and the Holy Grail (1975),1136,406
6,Animal House (1978),3421,406
7,Groundhog Day (1993),1265,406
8,Jumanji (1995),2,406
9,Toy Story (1995),1,406
10,Spaceballs (1987),3033,406
0,"Godfather: Part II, The (1974)",1221,330
1,"Clockwork Orange, A (1971)",1206,330
2,Star Trek II: The Wrath of Khan (1982),1374,330
3,Top Gun (1986),1101,330
4,"Hunt for Red October, The (1990)",1610,330
5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),750,330
6,As Good as It Gets (1997),1784,330
7,GoldenEye (1995),10,330
8,"Birdcage, The (1996)",141,330
9,Citizen Kane (1941),923,330
10,Snow White and the Seven Dwarfs (1937),594,330
0,"Little Mermaid, The (1989)",2081,570
1,Back to the Future (1985),1270,570
2,Army of Darkness (1993),1215,570
3,Star Wars: Episode VI - Return of the Jedi (1983),1210,570
4,Total Recall (1990),2916,570
5,Ferris Bueller's Day Off (1986),2918,570
6,Get Shorty (1995),21,570
7,"Birdcage, The (1996)",141,570
8,"Truth About Cats & Dogs, The (1996)",708,570
9,Robin Hood: Men in Tights (1993),520,570
10,Dave (1993),440,570
0,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",1201,4
1,Happy Gilmore (1996),104,4
2,Mr. Holland's Opus (1995),62,4
3,Ace Ventura: When Nature Calls (1995),19,4
4,Pulp Fiction (1994),296,4
5,Tron (1982),2105,4
6,Judge Dredd (1995),173,4
7,"Santa Clause, The (1994)",317,4
8,Shakespeare in Love (1998),2396,4
9,Demolition Man (1993),442,4
10,Arachnophobia (1990),2699,4
